  SEDIMENT-YIELD ESTIMATION - SYPOME3

  * Version 3
  * SY equation based on the principle of maximum entropy
  * Program can only compute up to 1500 events
                        
  Universidade Federal do Ceara
  University of Birmingham
  Jose Carlos de Araujo, 2004
  Technische Unibversitat Berlin
  Pedro Alencar, 2019

 --------------------------------------------------------------
 Title: Canabrava           
 --------------------------------------------------------------
 Input file .....................................               defaut
 Output file ....................................               defaut
 Number of precipitation gauges .................    1
 Number of cells ................................    1
 Number of events ...............................  960
 ------------------------------------------------------------
 Precipitation gauge number .....................    1
 ------------------------------------------------------------
    i     id    date      D(mm)     Dur(min)    R(MJ.mm/ha/h)      
  407    407  24146       1.42        146.3        83.1
  408    408  24148      15.37       2947.9      1527.0
  409    409  24178       3.62       2178.7      1333.9
  410    410  24506       5.36         63.2        19.5
  411    411  24507       0.62        260.6       186.2
  412    412  24522      24.80       1911.7      1356.5
  413    413  24554       0.33       1939.2      1384.3
  414    414  24557       0.08        387.3       276.5
  415    415  24559       9.06       1963.1      1131.8
  416    416  24561      22.40       2815.1      1704.5
  417    417  24562       0.16         41.3        18.0
  418    418  24564       0.62        304.6       222.4
  419    419  24565       0.01        535.7       321.1
  420    420  24567      18.77       2247.7      1449.7
  421    421  24569      22.48        855.3       586.8
  422    422  24570       1.06        695.1       468.8
  423    423  24574       3.97       3459.9       860.4
  424    424  24575       9.01       1396.3       944.4
  425    425  24578       0.01        676.0       346.5
  426    426  24587       0.05       3897.4      1903.1
  427    427  24603       1.33        379.6       277.4
  428    428  24849       8.60       1289.5       888.4
  429    429  24854       2.05       1523.6       710.6
  430    430  24863       0.56       1939.5      1393.9
  431    431  24887       0.28       2325.0      1586.9
  432    432  24905       9.43       1457.6       963.0
  433    433  24908       0.15        991.3       430.7
  434    434  24909       1.39        800.7       524.7
  435    435  24914       0.06        118.6        76.5
  436    436  24944       0.16       1103.7       730.3
  437    437  25271      12.45       2441.7      1759.4
  438    438  25272       0.04        587.2       346.6
  439    439  25330       0.16        459.8       319.8
  440    440  25589      18.91       2085.4      1388.2
  441    441  25591      18.13       1557.2      1112.6
  442    442  25593       2.02        143.1        77.1
  443    443  25626      46.61       1936.2      1403.8
  444    444  25627       5.36        434.7       299.8
  445    445  25629       0.01        203.0       149.6
  446    446  25630       6.37       1933.4      1019.1
  447    447  25633      14.04       1624.5      1117.2
  448    448  25635       9.41        336.7       197.7
  449    449  25683       1.17       1273.9       607.6
  450    450  25953       0.48       2128.3      1501.8
  451    451  25954       0.29         67.4        32.7
  452    452  25959       0.05       1668.0       827.4
  453    453  25962       1.63        356.7       256.9
  454    454  25963       8.15        890.1       648.9
  455    455  25967      14.04       2015.3      1277.9
  456    456  25972       7.00       1144.4       795.8
  457    457  25981       0.12       1796.9      1285.2
  458    458  25985       1.39        652.8       457.8
  459    459  25990       0.29        232.2       167.1
  460    460  25997       0.41        586.9       341.2
  461    461  26022       8.21       1242.0       859.8
  462    462  26023       1.42       1072.3       603.2
  463    463  26024       0.19        715.5       410.5
  464    464  26028       2.37        251.4       162.6
  465    465  26030       0.39       1898.5       969.4
  466    466  26052       0.02       1083.3       371.9
  467    467  26054       3.54       1182.4       736.7
  468    468  26332       6.26         62.8        18.6
  469    469  26339       0.09        633.0       463.2
  470    470  26655       0.69       1200.5       850.7
  471    471  26728       0.04        697.1       451.8
  472    472  26735       2.49       6233.7      2744.5
  473    473  26738       0.01        278.1       205.4
  474    474  26749       1.22         68.0        28.0
  475    475  26766      24.19       2429.7      1605.3
  476    476  26769      15.58       2355.3      1416.8
  477    477  26772      16.95        445.3       259.6
  478    478  26781      65.22       1936.2      1366.8
  479    479  27041       2.23       3243.2      2144.1
  480    480  27042       0.05         99.0        61.0
  481    481  27044       0.05        359.2       258.7
  482    482  27045       3.84        619.5       453.7
